Asset ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMDescription,Total Quantity Reserved,Stock On Hand
128989,WIM0000977,130-PC-007A/B/ TDSP 6X4-17/ Mechanical SEAL (DE&NDE),3312,Set,0.0000000,1.0000000
128990,WIM0000978,130-PC-007A/B/ TDSP 6X4-17130-PC-007A/B/ WEAR RING SET (CASING&IMPELLER),3264,Set,0.0000000,1.0000000
128991,WIM0000979,130-PC-009A/B/ TSP 8X6-21/Mechanical SEAL,3289,Set,0.0000000,1.0000000
128992,WIM0000980,130-PC-012A/B/ TSP 6X4-13/ Mechanical SEAL,3290,Set,0.0000000,1.0000000
128993,WIM0000981,130-PC-032A/B/ TSP 4X3-16/ Mechanical SEAL,3360,Set,0.0000000,0.0000000
128994,WIM0000982,130-PC-040/ TSP 4X3-13/ Mechanical SEAL,3361,Set,0.0000000,1.0000000
128995,WIM0000983,"130-PC-102A/B, 202A/B/ TSP 4X3-16/ Mechanical SEAL",3287,Set,0.0000000,1.0000000
128996,WIM0000984,"130-PC-103A/B, 203A/B/ TSP 10X6-23A/ Mechanical SEAL",3288,Set,0.0000000,1.0000000
128997,WIM0000985,130-PC-108A/B/C/ TDP 24X18-31A/ Mechanical SEAL (DE&NDE),3313,Set,0.0000000,1.0000000
128998,WIM0000986,130-PC-108A/B/C/ TDP 24X18-31A/ WEAR RING SET (CASING&IMPELLER),3265,Set,0.0000000,1.0000000
128999,WIM0000987,130-PC-208A/B/C/ TDP 24X18-31A/ Mechanical SEAL (DE&NDE),3314,Set,0.0000000,1.0000000
129000,WIM0000988,130-PC-208A/B/C/ TDP 24X18-31A/ WEAR RING SET (CASING&IMPELLER),3266,Set,0.0000000,1.0000000
129002,WIM0000990,130-XA-046/Mechanical Seal / Механические уплотнения (MIXERPAC (Ө100)/H32650,3627,Set,0.0000000,1.0000000
129003,WIM0000991,135-PC-002A/B/ TSTP 3X2-15/ Mechanical SEAL,3315,Set,0.0000000,1.0000000
129004,WIM0000992,135-PC-002A/B/ TSTP 3X2-15/ WEAR RING SET (CASING&IMPELLER),3267,Set,0.0000000,1.0000000
129005,WIM0000993,135-PC-006A/B/ TSP 8X3-27/ Mechanical SEAL,3291,Set,0.0000000,1.0000000
129007,WIM0000995,135-PC-007A/B/ TDSP 8X6-13B/ Mechanical SEAL (DE&NDE),3316,Set,0.0000000,1.0000000
129008,WIM0000996,135-PC-008A/B/ TSP 4X2-11A/ Mechanical SEAL,3292,Set,0.0000000,1.0000000
129009,WIM0000997,140-PC-002/ TVSP 2X1-11S/ Mechanical SEAL,3327,Set,0.0000000,1.0000000
129010,WIM0000998,140-PC-003A/B/ TSP 10X8-21A/ Mechanical SEAL,3293,Set,0.0000000,1.0000000
129011,WIM0000999,140-PC-004A/B/ TSP 6X4-19/ Mechanical SEAL,3294,Set,0.0000000,1.0000000
129012,WIM0001000,140-PC-006A/B/ TSP 3X1-13AL/ Mechanical SEAL,3295,Set,0.0000000,1.0000000
129013,WIM0001001,140-PC-007/ TVSP 2X1-11S/ Mechanical SEAL,3328,Set,0.0000000,1.0000000
129014,WIM0001002,140-PC-008A/B/ TSP 6X3-11/ Mechanical SEAL,3296,Set,0.0000000,1.0000000
129015,WIM0001003,145-PC-001A/B/ TDSP 6X4-13/ Mechanical SEAL (DE&NDE),3317,Set,0.0000000,1.0000000
129016,WIM0001004,145-PC-001A/B/ TDSP 6X4-13/WEAR RING SET (CASING&IMPELLER),3269,Set,0.0000000,1.0000000
129017,WIM0001005,145-PC-002A/B/ TSP 2X1-11C/ Mechanical SEAL,3297,Set,0.0000000,1.0000000
129019,WIM0001007,145-PC-022A/B/ TSP 6X3-27A/ Mechanical SEAL,3298,Set,0.0000000,1.0000000
129021,WIM0001009,145-PC-050/ TSP 3X1-15/ Mechanical SEAL,3364,Set,0.0000000,1.0000000
129022,WIM0001010,145-XA-002A/B/ Mechanical Seal / Механические уплотнения (MW-200 (Ө160)/H32649,3625,Set,0.0000000,2.0000000
129023,WIM0001011,145-XA-007/ Mechanical Seal / Механические уплотнения (VRA (Ө70)/H32601,3628,Set,0.0000000,2.0000000
129024,WIM0001012,145-XA-010/ Mechanical Seal / Механические уплотнения (MIXERPAC (Ө100)/H32653,3629,Set,0.0000000,1.0000000
129025,WIM0001013,145-ХА-019/Mechanical SEAL/Механические уплотнения,4132,Set,0.0000000,2.0000000
129026,WIM0001014,"150-PC-001A/B/ RSMP-B 8X6-13A, 12S/ WEAR RING SET (CASING&IMPELLER)",3270,Set,0.0000000,1.0000000
129029,WIM0001017,150-PC-002A/B/ RSMP-V 8X6-13A/ Mechanical SEAL (DE&NDE),3319,Set,0.0000000,0.0000000
129030,WIM0001018,150-PC-005A/B/ TSP 10X6-26/ Mechanical SEAL,3299,Set,0.0000000,1.0000000
129031,WIM0001019,150-PC-007A/B/ TDSP 8X6-13/ WEAR RING SET (CASING&IMPELLER),3272,Set,0.0000000,1.0000000
129032,WIM0001020,150-PC-007A/B/ TDSP 8X6-13B/ Mechanical SEAL (DE&NDE),3320,Set,0.0000000,1.0000000
129033,WIM0001021,150-PC-008A/B/ TSP 8X6-13/ Mechanical SEAL,3301,Set,0.0000000,1.0000000
129035,WIM0001023,150-PC-010A/B/ TDSP 8X6-13/ WEAR RING SET (CASING&IMPELLER),3273,Set,0.0000000,1.0000000
129036,WIM0001024,150-PC-010A/B/ TDSP 8X6-13B/ Mechanical SEAL (DE&NDE),3321,Set,0.0000000,0.0000000
129037,WIM0001025,150-PC-011A/B/ TSP 2X1-9AL Mechanical SEAL,3303,Set,0.0000000,1.0000000
129038,WIM0001026,"150-PC-012A/B/ RSMP 6X3-10, 9S/ Mechanical SEAL (DE&NDE)",3322,Set,0.0000000,0.0000000
129039,WIM0001027,"150-PC-012A/B/ RSMP-B 6X3-10, 9S/ WEAR RING SET (CASING&IMPELLER)",3274,Set,0.0000000,1.0000000
129040,WIM0001028,"150-PC-013A/B/ RSMP-B 8X6-13A, 6S/ WEAR RING SET (CASING&IMPELLER)",3275,Set,0.0000000,1.0000000
129041,WIM0001029,150-PC-013A/B/ RSMP-B 8X6-13A/Mechanical SEAL (DE&NDE),3323,Set,0.0000000,0.0000000
129042,WIM0001030,150-PC-014A/B/ TSP 4X3-17/ Mechanical SEAL,3304,Set,0.0000000,1.0000000
