Catalogue ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMID
87968,WIM0049335.,"Bolt M16, nut M16 and washer M16",,2
87969,Регулятор давления ду50 P,Регулятор давления ду50 Pу16,,2
87970,1C:Enterprise,1C:Enterprise,,2
87971,License for 1C:Enterprise,1C:Enterprise,,2
87977,Serv_0000066 +,Serv_0000066 +,,2
87981,0000065,0000065,,2
87982,0000066,0000066,,2
88037,urea,urea,,2
88046, , ,,2
88047, Serv_0000068, ,,2
88048,44044,44044,,2
88049,cool Gard ,cool Gard ,,2
88050,6275,cool Gard ,,2
88051,стек,стек,,2
88081,0000069,0000069,,2
88082,гостини,0000069,,2
88083,motion,motion,,2
88084,00004828,00004828,,2
88085,Журнал,Журнал,,2
88086,вфм,вфм,,2
88087,WIM0000023,WIM0000023,,2
88088,,"At EW-60, under insulation there is leak appeared in the hydrotest vent of the HBF line, to be checked and tightened the blind",,2
88089,,"At EW-60, under insulation there is leak appeared in the hydrotest vent of the HBF line, to be checked and tightened the blind",,2
88090,00005350,00005350,,2
88097,6844,6844,,2
88107,,Er70s-3 filler wire,,2
88108,wim00455454,wim00455454,,2
88109,1225,1225,,2
88118,0000073,0000073,,2
88119,0049462,0049462,,2
88120,WIM00004963,WIM00004963,,2
88121,WIM004963,Огнетушитель ОП-2,,2
88122,WIM0049466,Знак аварийной остановки Светоотражающий жилет,,2
88132,49473,49473,,2
88133,0000076,0000076,,2
88141,45408,45408,,2
88142,sasda,sasda,,2
88143,asdasd,asdasd,,2
88144,fdfdsa,fdfdsa,,2
88145,Специал,Специал,,2
88146,7139,7139,,2
88147,,"Freon, modeli R-410A",,2
88148,,er70s-3 filler wire,,2
88149,5230,5230,,2
88150,5230,5230,,2
88151,5230,5230,,2
88203,,редуктор,,2
88216,wim00045321,wim00045321,,2
88217,,Замок для изоляционного короба/Quick release Toggle clips for insulation box,,2
