Asset ID,Parent Asset ID,Asset Description,Asset Number
97601,95020,ON OFF VALVE,120-KV-0302
97602,95020,SOLENOID VALVE,120-KY-0302
97603,95020,VALVE LIMIT SWITCH,120-KZSH-0302
97604,95020,VALVE LIMIT SWITCH,120-KZSL-0302
96278,95021,CONTROL VALVE,120-FV-1001
96284,95021,CONTROL VALVE,120-FV-1003
96285,95021,CONTROL VALVE,120-HV-1003A
96286,95021,CONTROL VALVE,120-HV-1003B
96287,95021,CONTROL VALVE,120-HV-1004
96288,95021,TRANSMITTER_DP ,120-PDT-1002
96290,95021,TRANSMITTER_DP ,120-PDT-1009
96291,95021,TRANSMITTER_TEMPERATURE,120-TT-1001
97217,95023,CONTROL VALVE,120-FV-2001
97223,95023,CONTROL VALVE,120-FV-2003
97224,95023,CONTROL VALVE,120-HV-2003A
97225,95023,CONTROL VALVE,120-HV-2003B
97226,95023,CONTROL VALVE,120-HV-2004
97227,95023,TRANSMITTER_DP ,120-PDT-2002
97229,95023,TRANSMITTER_DP ,120-PDT-2009
97230,95023,TRANSMITTER_TEMPERATURE,120-TT-2001
97231,95023,ON-OFF VALVE,120-XV-2004
95268,95033,Soluble phosphate salt /Liquid,120-PSV-1811
95269,95033,Soluble phosphate salt /Liquid,120-PSV-1812
95428,95033,Phosphate Dosing Pump Motor,120-XP-101-PD-01A-M
95429,95033,Phosphate Dosing Pump Motor,120-XP-101-PD-01B-M
95430,95033,Phosphate Agitator Motor,120-XP-101-XA-01-M
96616,95033,LEVEL TRANSMITTER_GWR,120-LT-1801
96617,95033,BEACON,120-LAH-1801L
96618,95033,HORN,120-LAH-1801LA
96628,95033,LEVEL GAUGE,120-LG-1802
99489,95033,Phosphate Agitator Motor,120-XP-101-XA-01
118224,95033,MOTOR STROKE CONTROL,120-HIC-1801
118226,95033,TRANSMITTER PRESSURE,120-PT-1801
118228,95033,FLOWMETER,120-FI-1801
118230,95033,PRESSURE GAUGE,120-PG-1803
118232,95033,PRESSURE GAUGE,120-PG-1805
223195,95033,Phosphate Dosing Pump,120-XP-101-PD-01A
95334,95034,Soluble phosphate salt / Liquid,120-PSV-2811
95335,95034,Soluble phosphate salt / Liquid,120-PSV-2812
95431,95034,Phosphate Dosing Pump Motor,120-XP-201-PD-01A-M
95432,95034,Phosphate Dosing Pump Motor,120-XP-201-PD-01B-M
97539,95034,FLOWMETER_CORIOLIS ,120-FT-2034
97556,95034,LEVEL TRANSMITTER_GWR,120-LT-2801
97564,95034,PRESSURE GAUGE,120-PG-2984
97576,95034,VIBRATION SWITCH,120-VSHH-1603
97577,95034,TRANSMITTER DP LEVEL,120-LT-2451
97578,95034,TRANSMITTER DP LEVEL,120-LT-2452
97579,95034,PRESSURE GAUGE,120-PG-2465
97580,95034,PRESSURE GAUGE,120-PG-2466
99494,95034,Phosphate Agitator Motor,120-XP-201-XA-01
99495,95034,PHOSPHATE DOSING PUMP ,120-XP-201-PD-01
95066,95063,S.H.P STEAM SILENCER,120-XS-102
95068,95063,OXYGEN SILNCER,120-XS-103
96297,95063,TRANSMITTER_DP FLOW,120-FT-1050A
